Filter By Length,Label,Kata,TF-IDF
"wihhh,keren,mint",positif,"['wihhh', 'keren', 'mint']","{'wihhh': 1, 'keren': 1, 'mint': 1}"
"wedee,mangtapp",positif,"['wedee', 'mangtapp']","{'wedee': 1, 'mangtapp': 1}"
"terima,kasih",positif,"['terima', 'kasih']","{'terima': 1, 'kasih': 1}"
masyaallah,positif,['masyaallah'],{'masyaallah': 1}
mantap,positif,['mantap'],{'mantap': 1}
mantap,positif,['mantap'],{'mantap': 1}
"kerja,bagus",positif,"['kerja', 'bagus']","{'kerja': 1, 'bagus': 1}"
keren,positif,['keren'],{'keren': 1}
"mantappp,cigee,emang",positif,"['mantappp', 'cigee', 'emang']","{'mantappp': 1, 'cigee': 1, 'emang': 1}"
"wihhh,keren",positif,"['wihhh', 'keren']","{'wihhh': 1, 'keren': 1}"
"mantap,cimta",positif,"['mantap', 'cimta']","{'mantap': 1, 'cimta': 1}"
kereeen,positif,['kereeen'],{'kereeen': 1}
"mantap,mint",positif,"['mantap', 'mint']","{'mantap': 1, 'mint': 1}"
keren,positif,['keren'],{'keren': 1}
keren,positif,['keren'],{'keren': 1}
"keren,mint",positif,"['keren', 'mint']","{'keren': 1, 'mint': 1}"
"waini,mantap",positif,"['waini', 'mantap']","{'waini': 1, 'mantap': 1}"
"mantap,kali,cigre",positif,"['mantap', 'kali', 'cigre']","{'mantap': 1, 'kali': 1, 'cigre': 1}"
"alhamdulillah,mkasih,toleransi",positif,"['alhamdulillah', 'mkasih', 'toleransi']","{'alhamdulillah': 1, 'mkasih': 1, 'toleransi': 1}"
info,positif,['info'],{'info': 1}
"keren,cici",positif,"['keren', 'cici']","{'keren': 1, 'cici': 1}"
mantap,positif,['mantap'],{'mantap': 1}
"terima,kasih,semangattt",positif,"['terima', 'kasih', 'semangattt']","{'terima': 1, 'kasih': 1, 'semangattt': 1}"
"mint,mantap",positif,"['mint', 'mantap']","{'mint': 1, 'mantap': 1}"
